iso,year,year.actual,crim.type,crim.year
ARE,1999,1999-01-01,Full criminalization,2007-01-01
ARG,1999,1999-01-01,Full criminalization,2008-01-01
ARM,1999,1999-01-01,Full criminalization,2006-01-01
ECU,1999,1999-01-01,Full criminalization,2006-01-01
HND,1999,1999-01-01,Full criminalization,2012-01-01
IDN,1999,1999-01-01,Full criminalization,2007-01-01
ISR,1999,1999-01-01,Full criminalization,2006-01-01
JPN,1999,1999-01-01,Full criminalization,NA
KAZ,1999,1999-01-01,Full criminalization,2003-01-01
MOZ,1999,1999-01-01,Full criminalization,2008-01-01
MYS,1999,1999-01-01,Full criminalization,2007-01-01
NGA,1999,1999-01-01,Full criminalization,2003-01-01
OMN,1999,1999-01-01,Full criminalization,2009-01-01
TCD,1999,1999-01-01,Full criminalization,NA
ZWE,1999,1999-01-01,Full criminalization,NA
ARE,1999,1999-01-01,Partial criminalization,NA
ARG,1999,1999-01-01,Partial criminalization,NA
ARM,1999,1999-01-01,Partial criminalization,2003-01-01
ECU,1999,1999-01-01,Partial criminalization,NA
HND,1999,1999-01-01,Partial criminalization,2006-01-01
IDN,1999,1999-01-01,Partial criminalization,1967-01-01
ISR,1999,1999-01-01,Partial criminalization,2001-01-01
JPN,1999,1999-01-01,Partial criminalization,2006-01-01
KAZ,1999,1999-01-01,Partial criminalization,2002-01-01
MOZ,1999,1999-01-01,Partial criminalization,NA
MYS,1999,1999-01-01,Partial criminalization,2001-01-01
NGA,1999,1999-01-01,Partial criminalization,NA
OMN,1999,1999-01-01,Partial criminalization,NA
TCD,1999,1999-01-01,Partial criminalization,NA
ZWE,1999,1999-01-01,Partial criminalization,2014-01-01
