year,url
2001,http://www.state.gov/j/tip/rls/tiprpt/2001/3930.htm
2002,http://www.state.gov/j/tip/rls/tiprpt/2002/10680.htm
2003,http://www.state.gov/j/tip/rls/tiprpt/2003/21276.htm
2004,http://www.state.gov/j/tip/rls/tiprpt/2004/33191.htm
2005,http://www.state.gov/j/tip/rls/tiprpt/2005/46614.htm
2006,http://www.state.gov/j/tip/rls/tiprpt/2006/65989.htm
2007,http://www.state.gov/j/tip/rls/tiprpt/2007/82806.htm
2008,http://www.state.gov/j/tip/rls/tiprpt/2008/105388.htm
2009,http://www.state.gov/j/tip/rls/tiprpt/2009/123136.htm
2010,http://www.state.gov/j/tip/rls/tiprpt/2010/142760.htm
2011,http://www.state.gov/j/tip/rls/tiprpt/2011/164232.htm
2012,http://www.state.gov/j/tip/rls/tiprpt/2012/192367.htm
2013,http://www.state.gov/j/tip/rls/tiprpt/countries/2013/215482.htm
2014,http://www.state.gov/j/tip/rls/tiprpt/countries/2014/226741.htm
2015,http://www.state.gov/j/tip/rls/tiprpt/countries/2015/243456.htm
